fid,행정동명,행정동코드,NUMPOINTS
"190",서대문구 천연동,1113052,2
"191",서대문구 홍제1동,1113062,4
"192",서대문구 홍제3동,1113064,4
"193",서대문구 홍제2동,1113065,0
"194",서대문구 홍은1동,1113066,4
"195",서대문구 홍은2동,1113068,5
"196",서대문구 남가좌1동,1113069,4
"197",서대문구 남가좌2동,1113070,6
"198",서대문구 북가좌1동,1113071,2
"199",서대문구 북가좌2동,1113072,5
"200",서대문구 충현동,1113073,2
"201",서대문구 북아현동,1113074,5
"202",서대문구 신촌동,1113075,4
"203",서대문구 연희동,1113076,9
"204",마포구 용강동,1114059,6
"205",마포구 대흥동,1114060,4
"206",마포구 염리동,1114061,2
"207",마포구 신수동,1114063,5
"208",마포구 서교동,1114066,7
"209",마포구 합정동,1114068,3
"210",마포구 망원1동,1114069,3
"211",마포구 망원2동,1114070,2
"212",마포구 연남동,1114071,2
"213",마포구 성산1동,1114072,4
"214",마포구 성산2동,1114073,10
"215",마포구 상암동,1114074,17
"216",마포구 도화동,1114075,2
"217",마포구 서강동,1114076,8
"218",마포구 공덕동,1114077,4
"219",마포구 아현동,1114078,5
"220",양천구 목1동,1115051,2
"221",양천구 목2동,1115052,3
"222",양천구 목3동,1115053,4
"223",양천구 목4동,1115054,4
"224",양천구 신월1동,1115057,5
"225",양천구 신월2동,1115058,3
"226",양천구 신월3동,1115059,2
"227",양천구 신월4동,1115060,5
"228",양천구 신월5동,1115061,4
"229",양천구 신월6동,1115062,2
"230",양천구 신월7동,1115063,8
"231",양천구 신정1동,1115064,7
"232",양천구 신정2동,1115065,2
"233",양천구 신정3동,1115066,14
"234",양천구 신정6동,1115069,7
"235",양천구 신정7동,1115070,5
"236",양천구 목5동,1115071,9
"237",양천구 신정4동,1115072,10
"238",강서구 염창동,1116051,6
"239",강서구 등촌1동,1116052,4
"240",강서구 등촌2동,1116053,1
"241",강서구 등촌3동,1116054,11
"242",강서구 화곡본동,1116055,13
"243",강서구 화곡2동,1116057,3
"244",강서구 화곡3동,1116058,6
"245",강서구 화곡4동,1116059,6
"246",강서구 화곡6동,1116061,5
"247",강서구 화곡8동,1116063,5
"248",강서구 가양1동,1116064,15
"249",강서구 가양2동,1116065,4
"250",강서구 가양3동,1116066,4
"251",강서구 발산1동,1116067,10
"252",강서구 공항동,1116069,6
"253",강서구 방화1동,1116070,13
"254",강서구 방화2동,1116071,8
"255",강서구 방화3동,1116072,10
"256",강서구 화곡1동,1116073,11
"257",강서구 우장산동,1116074,10
"258",구로구 신도림동,1117051,3
"259",구로구 구로1동,1117052,0
"260",구로구 구로3동,1117054,2
"261",구로구 구로4동,1117055,2
"262",구로구 구로5동,1117056,4
"263",구로구 고척1동,1117061,3
"264",구로구 고척2동,1117062,7
"265",구로구 개봉2동,1117064,1
"266",구로구 개봉3동,1117065,5
"267",구로구 오류1동,1117067,4
"268",구로구 오류2동,1117068,16
"269",구로구 수궁동,1117069,8
"270",구로구 가리봉동,1117070,0
"271",구로구 구로2동,1117071,3
"272",구로구 개봉1동,1117072,3
"273",금천구 가산동,1118051,3
"274",금천구 독산1동,1118052,8
"275",금천구 독산2동,1118053,6
"276",금천구 독산3동,1118054,6
