시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
송파구,오륜동,5498,361,1269,1745,1705,359,48,11,-
송파구,오금동,14344,3077,4095,3616,2799,605,128,24,-
송파구,송파1동,11283,4706,3041,1898,1263,304,57,14,-
송파구,송파2동,6985,1242,1808,1833,1693,340,59,10,-
송파구,석촌동,15316,6716,4047,2511,1609,333,78,22,-
송파구,삼전동,14526,6327,3740,2417,1613,350,61,18,-
송파구,가락본동,10576,3173,2907,2292,1737,387,63,17,-
송파구,가락1동,9534,1255,2791,2785,2281,355,59,8,-
송파구,가락2동,11482,2272,2817,3087,2716,468,98,24,-
송파구,문정1동,7854,2134,2103,1754,1499,284,63,17,-
송파구,문정2동,14590,7515,3321,1991,1440,251,58,14,-
송파구,장지동,11408,2747,3237,2729,2106,486,92,11,-
송파구,위례동,9041,1037,1943,2502,2715,697,122,25,-
송파구,잠실본동,13850,6559,3414,2123,1391,296,53,14,-
송파구,잠실4동,6766,669,1573,2129,1988,335,58,14,-
송파구,잠실6동,5446,577,1523,1617,1359,285,67,18,-
송파구,잠실7동,3156,302,980,961,739,147,21,6,-
송파구,잠실2동,10998,1160,2117,3152,3848,598,105,18,-
송파구,잠실3동,11186,1116,2930,3443,3027,563,85,22,-
강동구,소계,177148,50316,47740,39449,31456,6659,1242,286,2.4
강동구,강일동,11277,2081,3046,2542,2572,861,150,25,-
강동구,상일동,10984,1441,2834,3130,2938,555,77,9,-
강동구,명일1동,9315,1698,2646,2523,2001,371,64,12,-
강동구,명일2동,5536,763,1238,1511,1638,317,53,16,-
강동구,고덕1동,8352,1143,1701,2416,2546,450,80,16,-
강동구,고덕2동,8108,1730,2175,2093,1770,291,45,X,-
강동구,암사2동,5903,1481,1671,1452,1040,214,39,6,-
강동구,암사3동,5881,707,1488,1698,1580,336,52,20,-
강동구,천호1동,11401,3749,3350,2323,1546,343,80,10,-
강동구,천호3동,12312,5205,3444,2034,1283,267,63,16,-
강동구,성내1동,7513,1808,2038,1894,1433,273,51,16,-
강동구,성내2동,11418,5143,3028,1845,1081,247,63,11,-
강동구,성내3동,9554,3134,2613,1976,1442,318,54,17,-
강동구,둔촌1동,13,6,X,X,X,X,X,X,-
강동구,둔촌2동,9940,2389,2763,2407,1924,380,61,16,-
강동구,암사1동,14431,4551,4008,3064,2229,464,89,26,-
강동구,천호2동,15701,6378,4433,2689,1710,380,84,27,-
강동구,길동,19509,6909,5261,3850,2722,592,136,39,-
