시군구,행정동,소계,1인가구 (가구),2인가구 (가구),3인가구 (가구),4인가구 (가구),5인가구 (가구),6인가구 (가구),7인이상가구 (가구),평균 가구원수 (명)
용산구,이촌1동,8975,1212,2594,2621,2052,403,79,14,-
용산구,이촌2동,3302,803,1102,812,442,119,20,X,-
용산구,이태원1동,3105,1479,845,471,226,61,19,X,-
용산구,이태원2동,4144,1874,1139,632,359,109,26,5,-
용산구,서빙고동,4701,1178,1330,1023,872,251,43,X,-
용산구,보광동,6643,3121,1750,997,593,150,26,6,-
용산구,청파동,9829,5218,2251,1244,839,202,61,14,-
용산구,원효로1동,6919,2735,1861,1296,841,154,28,X,-
용산구,한강로동,8785,3755,2434,1463,901,181,43,8,-
용산구,한남동,9435,4154,2656,1491,838,243,39,14,-
성동구,소계,122186,42585,32368,25023,17568,3655,781,206,2.3
성동구,왕십리2동,6925,2275,1859,1445,1061,216,52,17,-
성동구,마장동,9719,3674,2511,1748,1362,318,83,23,-
성동구,사근동,7150,4754,1167,647,418,133,25,6,-
성동구,행당1동,5748,1930,1522,1192,883,175,32,14,-
성동구,행당2동,8747,1764,2625,2190,1761,315,77,15,-
성동구,응봉동,5497,1053,1458,1505,1173,253,48,7,-
성동구,금호1가동,6045,1538,1771,1512,950,219,48,7,-
성동구,금호4가동,5812,1624,1698,1437,861,157,23,12,-
성동구,성수1가1동,6937,2435,1889,1325,1056,186,36,10,-
성동구,성수1가2동,6102,2499,1524,1100,778,167,27,7,-
성동구,성수2가1동,7425,2990,1981,1329,883,189,43,10,-
성동구,성수2가3동,4888,2091,1221,806,590,137,34,9,-
성동구,송정동,5057,2305,1224,817,531,140,36,X,-
성동구,용답동,5876,3111,1349,745,496,136,30,9,-
성동구,왕십리도선동,10999,3632,2799,2390,1769,316,74,19,-
성동구,금호2.3가동,9185,2519,2705,2196,1407,281,54,23,-
성동구,옥수동,10074,2391,3065,2639,1589,317,59,14,-
광진구,소계,152090,62301,36380,27174,20794,4354,846,241,2.2
광진구,화양동,16621,12704,2435,827,516,103,26,10,-
광진구,군자동,10235,5546,2181,1333,897,217,45,16,-
광진구,중곡1동,7345,3282,1922,1186,738,170,36,11,-
광진구,중곡2동,9615,3780,2545,1702,1225,286,61,16,-
광진구,중곡3동,7555,3144,2008,1296,854,213,36,X,-
광진구,중곡4동,11930,3747,3366,2560,1760,390,83,24,-
광진구,능동,6044,3251,1407,748,481,126,27,X,-
광진구,구의1동,11002,5591,2563,1570,967,235,65,11,-
광진구,구의2동,10455,3049,2802,2284,1802,411,81,26,-
광진구,구의3동,11111,3110,2871,2559,2093,394,63,21,-
광진구,광장동,11150,1501,2244,3233,3482,584,85,21,-
광진구,자양1동,10495,4616,2642,1686,1217,270,49,15,-
광진구,자양2동,10163,3098,2678,2277,1669,352,62,27,-
광진구,자양3동,10044,2131,2587,2570,2253,400,81,22,-
