house_cnt	adm_cd	adm_nm	area	area_nm
186	11130720	북가좌2동	01	면적_20이하
380	11130730	충현동	01	면적_20이하
47	11130740	북아현동	01	면적_20이하
1206	11130750	신촌동	01	면적_20이하
727	11130760	연희동	01	면적_20이하
77	11140590	용강동	01	면적_20이하
613	11140600	대흥동	01	면적_20이하
390	11140610	염리동	01	면적_20이하
222	11140630	신수동	01	면적_20이하
1164	11140660	서교동	01	면적_20이하
329	11140680	합정동	01	면적_20이하
358	11140690	망원1동	01	면적_20이하
184	11140700	망원2동	01	면적_20이하
691	11140710	연남동	01	면적_20이하
454	11140720	성산1동	01	면적_20이하
366	11140730	성산2동	01	면적_20이하
327	11140740	상암동	01	면적_20이하
152	11140750	도화동	01	면적_20이하
780	11140760	서강동	01	면적_20이하
321	11140770	공덕동	01	면적_20이하
26	11140780	아현동	01	면적_20이하
0	11150510	목1동	01	면적_20이하
383	11150520	목2동	01	면적_20이하
194	11150530	목3동	01	면적_20이하
37	11150540	목4동	01	면적_20이하
35	11150570	신월1동	01	면적_20이하
42	11150580	신월2동	01	면적_20이하
8	11150590	신월3동	01	면적_20이하
0	11150600	신월4동	01	면적_20이하
37	11150610	신월5동	01	면적_20이하
0	11150620	신월6동	01	면적_20이하
0	11150630	신월7동	01	면적_20이하
29	11150640	신정1동	01	면적_20이하
27	11150650	신정2동	01	면적_20이하
0	11150660	신정3동	01	면적_20이하
0	11150700	신정7동	01	면적_20이하
450	11150720	신정4동	01	면적_20이하
816	11160510	염창동	01	면적_20이하
387	11160520	등촌1동	01	면적_20이하
221	11160530	등촌2동	01	면적_20이하
30	11160540	등촌3동	01	면적_20이하
542	11160550	화곡본동	01	면적_20이하
70	11160570	화곡2동	01	면적_20이하
95	11160580	화곡3동	01	면적_20이하
76	11160590	화곡4동	01	면적_20이하
465	11160610	화곡6동	01	면적_20이하
215	11160630	화곡8동	01	면적_20이하
86	11160640	가양1동	01	면적_20이하
19	11160670	발산1동	01	면적_20이하
309	11160690	공항동	01	면적_20이하
149	11160700	방화1동	01	면적_20이하
425	11160710	방화2동	01	면적_20이하
19	11160720	방화3동	01	면적_20이하
1505	11160730	화곡1동	01	면적_20이하
110	11160740	우장산동	01	면적_20이하
335	11170510	신도림동	01	면적_20이하
19	11170520	구로1동	01	면적_20이하
79	11170540	구로3동	01	면적_20이하
546	11170550	구로4동	01	면적_20이하
862	11170560	구로5동	01	면적_20이하
46	11170610	고척1동	01	면적_20이하
138	11170620	고척2동	01	면적_20이하
152	11170640	개봉2동	01	면적_20이하
69	11170650	개봉3동	01	면적_20이하
803	11170670	오류1동	01	면적_20이하
31	11170690	수궁동	01	면적_20이하
81	11170700	가리봉동	01	면적_20이하
259	11170710	구로2동	01	면적_20이하
7	11170720	개봉1동	01	면적_20이하
130	11170730	오류2동	01	면적_20이하
1464	11180510	가산동	01	면적_20이하
317	11180520	독산1동	01	면적_20이하
170	11180530	독산2동	01	면적_20이하
127	11180540	독산3동	01	면적_20이하
59	11180550	독산4동	01	면적_20이하
416	11180570	시흥1동	01	면적_20이하
16	11180590	시흥3동	01	면적_20이하
24	11180600	시흥4동	01	면적_20이하
14	11180610	시흥5동	01	면적_20이하
181	11190550	당산1동	01	면적_20이하
1107	11190560	당산2동	01	면적_20이하
166	11190610	양평1동	01	면적_20이하
342	11190620	양평2동	01	면적_20이하
513	11190630	신길1동	01	면적_20이하
236	11190650	신길3동	01	면적_20이하
0	11190660	신길4동	01	면적_20이하
40	11190670	신길5동	01	면적_20이하
79	11190680	신길6동	01	면적_20이하
48	11190690	신길7동	01	면적_20이하
73	11190700	대림1동	01	면적_20이하
576	11190710	대림2동	01	면적_20이하
451	11190720	대림3동	01	면적_20이하
133	11190730	영등포본동	01	면적_20이하
2304	11190740	영등포동	01	면적_20이하
88	11190750	도림동	01	면적_20이하
29	11190760	문래동	01	면적_20이하
324	11200520	노량진2동	01	면적_20이하
934	11200530	상도1동	01	면적_20이하
809	11200540	상도2동	01	면적_20이하
174	11200550	상도3동	01	면적_20이하
76	11200560	상도4동	01	면적_20이하
366	11200630	사당1동	01	면적_20이하
84	11200650	사당3동	01	면적_20이하
106	11200660	사당4동	01	면적_20이하
143	11200670	사당5동	01	면적_20이하
876	11200680	대방동	01	면적_20이하
176	11200690	신대방1동	01	면적_20이하
248	11200700	신대방2동	01	면적_20이하
61	11200710	흑석동	01	면적_20이하
676	11200720	노량진1동	01	면적_20이하
64	11200730	사당2동	01	면적_20이하
110	11210520	보라매동	01	면적_20이하
27	11210540	청림동	01	면적_20이하
224	11210570	행운동	01	면적_20이하
204	11210580	낙성대동	01	면적_20이하
405	11210610	중앙동	01	면적_20이하
191	11210620	인헌동	01	면적_20이하
334	11210630	남현동	01	면적_20이하
278	11210640	서원동	01	면적_20이하
75	11210650	신원동	01	면적_20이하
153	11210660	서림동	01	면적_20이하
264	11210680	신사동	01	면적_20이하
1249	11210690	신림동	01	면적_20이하
0	11210710	난향동	01	면적_20이하
632	11210720	조원동	01	면적_20이하
168	11210730	대학동	01	면적_20이하
203	11210780	은천동	01	면적_20이하
52	11210790	성현동	01	면적_20이하
1056	11210800	청룡동	01	면적_20이하
132	11210810	난곡동	01	면적_20이하
20	11210820	삼성동	01	면적_20이하
176	11210830	미성동	01	면적_20이하
156	11220510	서초1동	01	면적_20이하
213	11220520	서초2동	01	면적_20이하
586	11220530	서초3동	01	면적_20이하
11	11220540	서초4동	01	면적_20이하
100	11220550	잠원동	01	면적_20이하
219	11220570	반포1동	01	면적_20이하
0	11220590	반포3동	01	면적_20이하
26	11220600	반포4동	01	면적_20이하
95	11220610	방배본동	01	면적_20이하
254	11220620	방배1동	01	면적_20이하
105	11220630	방배2동	01	면적_20이하
16	11220640	방배3동	01	면적_20이하
155	11220650	방배4동	01	면적_20이하
131	11220660	양재1동	01	면적_20이하
220	11220670	양재2동	01	면적_20이하
0	11220680	내곡동	01	면적_20이하
149	11230510	신사동	01	면적_20이하
774	11230520	논현1동	01	면적_20이하
299	11230530	논현2동	01	면적_20이하
25	11230580	삼성1동	01	면적_20이하
110	11230590	삼성2동	01	면적_20이하
161	11230630	대치4동	01	면적_20이하
950	11230640	역삼1동	01	면적_20이하
265	11230650	역삼2동	01	면적_20이하
190	11230660	도곡1동	01	면적_20이하
92	11230670	도곡2동	01	면적_20이하
8	11230680	개포1동	01	면적_20이하
82	11230710	개포4동	01	면적_20이하
99	11230730	일원1동	01	면적_20이하
71	11230770	압구정동	01	면적_20이하
257	11230780	청담동	01	면적_20이하
30	11230790	대치2동	01	면적_20이하
12	11240510	풍납1동	01	면적_20이하
296	11240520	풍납2동	01	면적_20이하
48	11240530	거여1동	01	면적_20이하
0	11240540	거여2동	01	면적_20이하
43	11240550	마천1동	01	면적_20이하
75	11240560	마천2동	01	면적_20이하
114	11240570	방이1동	01	면적_20이하
469	11240580	방이2동	01	면적_20이하
105	11240600	오금동	01	면적_20이하
826	11240610	송파1동	01	면적_20이하
131	11240620	송파2동	01	면적_20이하
1059	11240630	석촌동	01	면적_20이하
838	11240640	삼전동	01	면적_20이하
327	11240650	가락본동	01	면적_20이하
322	11240670	가락2동	01	면적_20이하
373	11240680	문정1동	01	면적_20이하
775	11240710	잠실본동	01	면적_20이하
220	11240810	장지동	01	면적_20이하
128	11250530	명일1동	01	면적_20이하
16	11250540	명일2동	01	면적_20이하
12	11250560	고덕2동	01	면적_20이하
217	11250580	암사2동	01	면적_20이하
14	11250590	암사3동	01	면적_20이하
253	11250610	천호1동	01	면적_20이하
850	11250630	천호3동	01	면적_20이하
322	11250650	성내1동	01	면적_20이하
425	11250660	성내2동	01	면적_20이하
449	11250670	성내3동	01	면적_20이하
0	11250700	둔촌1동	01	면적_20이하
174	11250710	둔촌2동	01	면적_20이하
342	11250720	암사1동	01	면적_20이하
883	11250730	천호2동	01	면적_20이하
1961	11250740	길동	01	면적_20이하
0	11250750	강일동	01	면적_20이하
9	11250760	상일1동	01	면적_20이하
315	11250770	상일2동	01	면적_20이하
210	11010530	사직동	02	면적_20_40
97	11010540	삼청동	02	면적_20_40
231	11010550	부암동	02	면적_20_40
304	11010560	평창동	02	면적_20_40
555	11010570	무악동	02	면적_20_40
637	11010580	교남동	02	면적_20_40
264	11010600	가회동	02	면적_20_40
234	11010610	종로1·2·3·4가동	02	면적_20_40
351	11010630	종로5·6가동	02	면적_20_40
607	11010640	이화동	02	면적_20_40
276	11010670	창신1동	02	면적_20_40
465	11010680	창신2동	02	면적_20_40
92	11010690	창신3동	02	면적_20_40
241	11010700	숭인1동	02	면적_20_40
359	11010710	숭인2동	02	면적_20_40
483	11010720	청운효자동	02	면적_20_40
803	11010730	혜화동	02	면적_20_40
142	11020520	소공동	02	면적_20_40
210	11020540	회현동	02	면적_20_40
35	11020550	명동	02	면적_20_40
271	11020570	필동	02	면적_20_40
505	11020580	장충동	02	면적_20_40
464	11020590	광희동	02	면적_20_40
28	11020600	을지로동	02	면적_20_40
1131	11020650	신당5동	02	면적_20_40
879	11020670	황학동	02	면적_20_40
772	11020680	중림동	02	면적_20_40
783	11020690	신당동	02	면적_20_40
870	11020700	다산동	02	면적_20_40
2190	11020710	약수동	02	면적_20_40
1433	11020720	청구동	02	면적_20_40
281	11020730	동화동	02	면적_20_40
1046	11030510	후암동	02	면적_20_40
614	11030520	용산2가동	02	면적_20_40
233	11030530	남영동	02	면적_20_40
854	11030570	원효로2동	02	면적_20_40
720	11030580	효창동	02	면적_20_40
1222	11030590	용문동	02	면적_20_40
0	11030630	이촌1동	02	면적_20_40
107	11030640	이촌2동	02	면적_20_40
199	11030650	이태원1동	02	면적_20_40
259	11030660	이태원2동	02	면적_20_40
259	11030690	서빙고동	02	면적_20_40
485	11030700	보광동	02	면적_20_40
1591	11030710	청파동	02	면적_20_40
1177	11030720	원효로1동	02	면적_20_40
1475	11030730	한강로동	02	면적_20_40
642	11030740	한남동	02	면적_20_40
619	11040520	왕십리2동	02	면적_20_40
810	11040540	마장동	02	면적_20_40
440	11040550	사근동	02	면적_20_40
605	11040560	행당1동	02	면적_20_40
1932	11040570	행당2동	02	면적_20_40
309	11040580	응봉동	02	면적_20_40
1569	11040590	금호1가동	02	면적_20_40
771	11040620	금호4가동	02	면적_20_40
341	11040650	성수1가1동	02	면적_20_40
194	11040660	성수1가2동	02	면적_20_40
305	11040670	성수2가1동	02	면적_20_40
322	11040680	성수2가3동	02	면적_20_40
251	11040690	송정동	02	면적_20_40
190	11040700	용답동	02	면적_20_40
1630	11040710	왕십리도선동	02	면적_20_40
951	11040720	금호2·3가동	02	면적_20_40
1169	11040730	옥수동	02	면적_20_40
768	11050530	화양동	02	면적_20_40
826	11050540	군자동	02	면적_20_40
840	11050550	중곡1동	02	면적_20_40
1017	11050560	중곡2동	02	면적_20_40
817	11050570	중곡3동	02	면적_20_40
1459	11050580	중곡4동	02	면적_20_40
719	11050590	능동	02	면적_20_40
1487	11050600	구의1동	02	면적_20_40
936	11050610	구의2동	02	면적_20_40
949	11050620	구의3동	02	면적_20_40
179	11050630	광장동	02	면적_20_40
1204	11050640	자양1동	02	면적_20_40
1151	11050650	자양2동	02	면적_20_40
326	11050660	자양3동	02	면적_20_40
871	11050670	자양4동	02	면적_20_40
681	11060710	회기동	02	면적_20_40
291	11060720	휘경1동	02	면적_20_40
857	11060730	휘경2동	02	면적_20_40
1102	11060800	청량리동	02	면적_20_40
1933	11060810	용신동	02	면적_20_40
1304	11060820	제기동	02	면적_20_40
1579	11060830	전농1동	02	면적_20_40
1233	11060840	전농2동	02	면적_20_40
1634	11060860	답십리2동	02	면적_20_40
1238	11060870	장안1동	02	면적_20_40
847	11060880	장안2동	02	면적_20_40
630	11060890	이문1동	02	면적_20_40
673	11060900	이문2동	02	면적_20_40
998	11060910	답십리1동	02	면적_20_40
1207	11070520	면목2동	02	면적_20_40
1484	11070540	면목4동	02	면적_20_40
493	11070550	면목5동	02	면적_20_40
725	11070570	면목7동	02	면적_20_40
1507	11070590	상봉1동	02	면적_20_40
1721	11070600	상봉2동	02	면적_20_40
787	11070610	중화1동	02	면적_20_40
1402	11070620	중화2동	02	면적_20_40
1383	11070640	묵1동	02	면적_20_40
1127	11070650	묵2동	02	면적_20_40
734	11070680	망우3동	02	면적_20_40
1275	11070690	신내1동	02	면적_20_40
3172	11070700	신내2동	02	면적_20_40
2214	11070710	면목본동	02	면적_20_40
1024	11070720	면목3·8동	02	면적_20_40
578	11070730	망우본동	02	면적_20_40
1198	11080580	돈암1동	02	면적_20_40
763	11080590	돈암2동	02	면적_20_40
349	11080600	안암동	02	면적_20_40
521	11080610	보문동	02	면적_20_40
185	11080620	정릉1동	02	면적_20_40
858	11080630	정릉2동	02	면적_20_40
784	11080640	정릉3동	02	면적_20_40
841	11080650	정릉4동	02	면적_20_40
1113	11080660	길음1동	02	면적_20_40
644	11080680	길음2동	02	면적_20_40
1086	11080710	월곡1동	02	면적_20_40
834	11080720	월곡2동	02	면적_20_40
1190	11080760	장위1동	02	면적_20_40
753	11080770	장위2동	02	면적_20_40
443	11080780	장위3동	02	면적_20_40
911	11080810	성북동	02	면적_20_40
1198	11080820	삼선동	02	면적_20_40
721	11080830	동선동	02	면적_20_40
1949	11080840	종암동	02	면적_20_40
1344	11080850	석관동	02	면적_20_40
476	11090600	번1동	02	면적_20_40
2584	11090610	번2동	02	면적_20_40
3027	11090620	번3동	02	면적_20_40
1341	11090630	수유1동	02	면적_20_40
1167	11090640	수유2동	02	면적_20_40
923	11090650	수유3동	02	면적_20_40
1345	11090690	삼양동	02	면적_20_40
1242	11090700	미아동	02	면적_20_40
805	11090710	송중동	02	면적_20_40
898	11090720	송천동	02	면적_20_40
2340	11090730	삼각산동	02	면적_20_40
1194	11090740	우이동	02	면적_20_40
1895	11090750	인수동	02	면적_20_40
1117	11100510	쌍문1동	02	면적_20_40
890	11100520	쌍문2동	02	면적_20_40
520	11100530	쌍문3동	02	면적_20_40
857	11100540	쌍문4동	02	면적_20_40
671	11100550	방학1동	02	면적_20_40
1203	11100560	방학2동	02	면적_20_40
88	11100570	방학3동	02	면적_20_40
545	11100590	창1동	02	면적_20_40
1379	11100600	창2동	02	면적_20_40
551	11100610	창3동	02	면적_20_40
1603	11100620	창4동	02	면적_20_40
792	11100630	창5동	02	면적_20_40
1181	11100640	도봉1동	02	면적_20_40
1295	11100650	도봉2동	02	면적_20_40
587	11110510	월계1동	02	면적_20_40
4244	11110520	월계2동	02	면적_20_40
3167	11110530	월계3동	02	면적_20_40
1240	11110560	공릉2동	02	면적_20_40
3862	11110580	하계1동	02	면적_20_40
1424	11110590	하계2동	02	면적_20_40
329	11110600	중계본동	02	면적_20_40
1078	11110610	중계1동	02	면적_20_40
1434	11110640	중계4동	02	면적_20_40
2258	11110650	상계1동	02	면적_20_40
443	11110660	상계2동	02	면적_20_40
665	11110690	상계5동	02	면적_20_40
2086	11110760	상계3·4동	02	면적_20_40
2061	11110770	상계6·7동	02	면적_20_40
6160	11110780	중계2·3동	02	면적_20_40
3567	11110790	공릉1동	02	면적_20_40
2334	11120510	녹번동	02	면적_20_40
2192	11120520	불광1동	02	면적_20_40
1409	11120550	갈현1동	02	면적_20_40
2047	11120560	갈현2동	02	면적_20_40
2094	11120570	구산동	02	면적_20_40
2031	11120580	대조동	02	면적_20_40
1370	11120590	응암1동	02	면적_20_40
1126	11120600	응암2동	02	면적_20_40
1360	11120650	신사1동	02	면적_20_40
963	11120660	신사2동	02	면적_20_40
415	11120670	증산동	02	면적_20_40
864	11120680	수색동	02	면적_20_40
1448	11120710	진관동	02	면적_20_40
2403	11120720	불광2동	02	면적_20_40
1727	11120730	응암3동	02	면적_20_40
3258	11120740	역촌동	02	면적_20_40
945	11130520	천연동	02	면적_20_40
722	11130620	홍제1동	02	면적_20_40
580	11130640	홍제3동	02	면적_20_40
888	11130650	홍제2동	02	면적_20_40
871	11130660	홍은1동	02	면적_20_40
1352	11130680	홍은2동	02	면적_20_40
848	11130690	남가좌1동	02	면적_20_40
1506	11130700	남가좌2동	02	면적_20_40
652	11130710	북가좌1동	02	면적_20_40
1743	11130720	북가좌2동	02	면적_20_40
1287	11130730	충현동	02	면적_20_40
418	11130740	북아현동	02	면적_20_40
1134	11130750	신촌동	02	면적_20_40
1178	11130760	연희동	02	면적_20_40
1252	11140590	용강동	02	면적_20_40
1314	11140600	대흥동	02	면적_20_40
903	11140610	염리동	02	면적_20_40
530	11140630	신수동	02	면적_20_40
2408	11140660	서교동	02	면적_20_40
1757	11140680	합정동	02	면적_20_40
1840	11140690	망원1동	02	면적_20_40
1300	11140700	망원2동	02	면적_20_40
951	11140710	연남동	02	면적_20_40
1544	11140720	성산1동	02	면적_20_40
2823	11140730	성산2동	02	면적_20_40
944	11140740	상암동	02	면적_20_40
993	11140750	도화동	02	면적_20_40
1440	11140760	서강동	02	면적_20_40
2174	11140770	공덕동	02	면적_20_40
917	11140780	아현동	02	면적_20_40
578	11150510	목1동	02	면적_20_40
2494	11150520	목2동	02	면적_20_40
1444	11150530	목3동	02	면적_20_40
1277	11150540	목4동	02	면적_20_40
1483	11150570	신월1동	02	면적_20_40
1419	11150580	신월2동	02	면적_20_40
924	11150590	신월3동	02	면적_20_40
636	11150600	신월4동	02	면적_20_40
1077	11150610	신월5동	02	면적_20_40
433	11150620	신월6동	02	면적_20_40
2553	11150630	신월7동	02	면적_20_40
219	11150640	신정1동	02	면적_20_40
1239	11150650	신정2동	02	면적_20_40
2002	11150660	신정3동	02	면적_20_40
3933	11150700	신정7동	02	면적_20_40
2383	11150720	신정4동	02	면적_20_40
651	11160510	염창동	02	면적_20_40
926	11160520	등촌1동	02	면적_20_40
1337	11160530	등촌2동	02	면적_20_40
6523	11160540	등촌3동	02	면적_20_40
3003	11160550	화곡본동	02	면적_20_40
1693	11160570	화곡2동	02	면적_20_40
1239	11160580	화곡3동	02	면적_20_40
2092	11160590	화곡4동	02	면적_20_40
1396	11160610	화곡6동	02	면적_20_40
2093	11160630	화곡8동	02	면적_20_40
1398	11160640	가양1동	02	면적_20_40
4631	11160650	가양2동	02	면적_20_40
4328	11160660	가양3동	02	면적_20_40
1722	11160670	발산1동	02	면적_20_40
1630	11160690	공항동	02	면적_20_40
1171	11160700	방화1동	02	면적_20_40
2000	11160710	방화2동	02	면적_20_40
4520	11160720	방화3동	02	면적_20_40
5929	11160730	화곡1동	02	면적_20_40
1137	11160740	우장산동	02	면적_20_40
377	11170510	신도림동	02	면적_20_40
359	11170520	구로1동	02	면적_20_40
1364	11170540	구로3동	02	면적_20_40
1702	11170550	구로4동	02	면적_20_40
588	11170560	구로5동	02	면적_20_40
415	11170610	고척1동	02	면적_20_40
652	11170620	고척2동	02	면적_20_40
905	11170640	개봉2동	02	면적_20_40
1424	11170650	개봉3동	02	면적_20_40
1495	11170670	오류1동	02	면적_20_40
1089	11170690	수궁동	02	면적_20_40
621	11170700	가리봉동	02	면적_20_40
1471	11170710	구로2동	02	면적_20_40
1132	11170720	개봉1동	02	면적_20_40
1822	11170730	오류2동	02	면적_20_40
902	11170740	항동	02	면적_20_40
1411	11180510	가산동	02	면적_20_40
2740	11180520	독산1동	02	면적_20_40
1134	11180530	독산2동	02	면적_20_40
1888	11180540	독산3동	02	면적_20_40
824	11180550	독산4동	02	면적_20_40
1303	11180570	시흥1동	02	면적_20_40
1800	11180580	시흥2동	02	면적_20_40
616	11180590	시흥3동	02	면적_20_40
1267	11180600	시흥4동	02	면적_20_40
894	11180610	시흥5동	02	면적_20_40
16	11190540	여의동	02	면적_20_40
1147	11190550	당산1동	02	면적_20_40
873	11190560	당산2동	02	면적_20_40
461	11190610	양평1동	02	면적_20_40
1277	11190620	양평2동	02	면적_20_40
846	11190630	신길1동	02	면적_20_40
425	11190650	신길3동	02	면적_20_40
620	11190660	신길4동	02	면적_20_40
275	11190670	신길5동	02	면적_20_40
276	11190680	신길6동	02	면적_20_40
329	11190690	신길7동	02	면적_20_40
238	11190700	대림1동	02	면적_20_40
512	11190710	대림2동	02	면적_20_40
813	11190720	대림3동	02	면적_20_40
776	11190730	영등포본동	02	면적_20_40
