"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",221.35,54.07,8.93198962840217,4.06819714642907,5.45737012134948,3.62798718491576,4.92389412759934,4.7,8.62982456280102,3.58298712051037,0,2.6,4.24,82.93,502.2,1.67,7897.44,0.05,112.32,12.95,8.88,3.5,18.69869,25.08,9.64,1124241.95,370126.59,659.39,309.33,80.39,83.53,104.31,29.22,0.27,-0.06,13.87
"2","1101053","종로구 사직동","01","25",321,110.2,11.8114044374523,11.5289537193025,16.8376005346567,11.1969854996389,0,11.96,9.77969612957492,14.2171259974413,11.5140897499576,2.53,4.04,65.4,511.89,2.73,8000,0.22,125.14,10.73,12.74,4.4,19.38729,28.94,12.87,1103839.42,359552.07,643.85,406.25,67.02,105.81,123.27,33.08,0.26,-0.11,16.95
"3","1101053","종로구 사직동","01","30",350.08,103.56,16.57769621702,14.313044110002,8.70924177684481,16.5409821099876,13.9090632810097,20.81,16.0182069956784,15.9286246706411,8.29400229545569,2.14,3.14,55.98,530.97,2.4,7871.49,0.19,141.93,12.56,17.92,5.88,14.73677,28.62,12.94,1126597.51,373106.64,747.55,456.18,62.73,131.66,141.63,31.54,0.17,-0.11,16.89
"4","1101053","종로구 사직동","01","35",353,106.18,19.9183369325715,14.3293888276424,9.46477141955094,16.3945934941378,9.8638619030581,15.21,19.24623640254,10.7956061525567,19.5884188580013,2.06,2.92,63.47,530,2.44,6738.46,0.11,117.19,10.89,20.04,6.61,10.2095,30.86,11.99,1105584.13,378019.71,888.11,423.09,55.48,124.69,146.43,30,0.1,-0.15,15.47
"5","1101053","종로구 사직동","01","40",420,75.19,16.5952194322425,8.83369327348371,6.73470187165641,9.89789308932851,21.6029827230474,11.59,11.3515807337333,5.23702884787783,15.6075120714874,1.85,2.53,57.82,547.24,2.14,5362.96,0.07,125.32,13.21,20.76,6.92,9.52217,30.71,11.4,1066907.34,352293.3,932.46,457.49,53.97,128.51,149.55,31.74,0,-0.17,14.03
"6","1101053","종로구 사직동","01","45",352,71,15.4737583199286,9.66216056771071,5.7199688318639,9.23425812775415,13.4000644321284,8.6,10.5218546791857,7.78164138236315,11.9748676552606,1.81,2.58,63.08,535.31,2.36,7036.46,0,118.76,17.78,20.74,6.89,6.57609,33.51,12.48,1080990.89,375732.68,1034.81,532.87,53.3,101.02,124.67,25.41,-0.04,-0.29,10.45
"7","1101053","종로구 사직동","01","50",323,48.7,8.38442367449404,4.86215237008903,3.62248844488714,5.23758903318162,8.33686535641412,3.71,6.44427455717015,4.28145471780796,8.28864441283589,1.72,2.4,65.9,547.44,2.67,7194.97,-0.03,110.42,19.6,18.46,6.77,4.75863,31.33,12.22,1079280.74,359544.78,987.93,482.73,44.97,88.46,96.56,21.78,-0.11,-0.38,7.39
"8","1101053","종로구 사직동","01","55",351,45.44,7.54584500213833,4.911850701975,3.07379137991146,5.31339439671373,10.9890172532168,3.28,5.62501771343651,2.82628467606834,10.9247226617792,1.73,2.37,74.51,516.57,2.71,5062.5,-0.02,99.76,17.23,20.65,6.56,2.92208,33.89,11.76,1094640.9,375155.09,1092.52,508.74,42.22,67.04,79.39,19.31,-0.12,-0.49,6.41
"9","1101053","종로구 사직동","01","60",245,39.52,5.1502880948398,4.52568176707537,4.54480495469711,3.66141454046971,4.30773762632195,1.93,4.08647400623952,1.5493215257985,8.54046489596665,1.71,2.27,76.6,525.89,1.67,3616.67,0.01,96.25,15.78,18.42,6.39,4.26274,31.67,12.31,1095741.45,374159.44,992.82,462.94,42.34,57.15,62.23,19.02,-0.06,-0.52,6.21
"10","1101053","종로구 사직동","01","65",181.27,32.55,2.02081442627466,1.84152637151351,6.76075041327778,1.91587618987364,3.18794015878303,0.93,1.36814238557239,1.13528650908685,2.10564786958274,1.71,2.42,66.52,539.27,3.33,5777.78,-0.03,80.46,14.14,17.41,5.4,2.89995,29.53,11.47,1137410.44,379371.72,783.55,413.42,39.54,41.46,52.82,18.54,-0.08,-0.57,7.22
