"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",220,69.99,9.43121135109162,7.20088987174739,11.6782279489525,4.5261808421882,2.51145338536193,2.96,7.67608445383812,3.72645559878969,0,2.43,4.22,83.06,536.6,1.67,9407.41,0.05,102.93,13.08,8.41,3.74,18.63,26.3,11.67,1063741.76,282915.71,718.04,374.3,76.95,82.61,120.16,29.14,0.28,-0.09,15.84
"2","1101053","종로구 사직동","01","25",321,113.72,12.0927086495154,11.0783431919767,9.73445398379453,12.3334414884522,6.51117544353094,9.5,10.3339572909413,17.2018976604953,4.31513222569648,2.44,3.75,54.77,566.08,2.67,9260.16,0.21,102.23,11.64,12.59,4.45,19.16,28.91,13.36,1027285.06,274186.67,792.33,490.41,60.22,98.72,121.19,28.7,0.26,-0.12,17.8
"3","1101053","종로구 사직동","01","30",351.2,103.92,15.6203651509396,13.5371210990835,6.68822000978188,13.3731932891156,7.25530977993447,17.43,12.3693007494189,14.7129630501171,8.64705484915831,2.08,3.03,58.49,523.14,2.65,7655.17,0.2,133.72,13.82,16.36,5.85,14.94,30.39,14.42,1025704.78,278904.08,888.35,535.67,60.78,130.87,158.13,31.3,0.16,-0.06,17.66
"4","1101053","종로구 사직동","01","35",357.81,90.78,14.1377321605281,13.0870822312148,5.74714118290605,14.1407147312563,14.3245859757681,14.86,13.9507130716265,8.04347283638883,24.8749742893748,1.85,2.59,65.82,551.49,1.88,7000,0.13,110.84,16.09,18.64,6.52,11.53,32.5,13.55,1029086.36,273441.58,1068.17,550.3,57.09,132.84,174.9,31.84,0.09,-0.11,16.65
"5","1101053","종로구 사직동","01","40",420,77.87,17.305976678445,8.91840225526762,9.1080982037181,8.99776292944322,21.7659293398034,9.72,12.6769199487861,6.1541765991048,17.6718936480371,1.83,2.48,62.21,570.07,2.59,6000,0.06,114.74,13.3,19.75,6.75,11.1,30.54,12.4,982079.62,249984.29,1002.59,508.69,50.55,127.19,159.62,33.85,-0.01,-0.18,15.48
"6","1101053","종로구 사직동","01","45",356,72.17,14.4077064137071,8.82208005857193,5.53367706943881,9.82860131296877,13.5128030633278,6.39,12.1050617973901,7.34110654073817,13.4155278145194,1.84,2.52,65.52,567.04,2.74,6745.1,-0.01,118.8,22.2,19.64,7.02,7.43,32.6,13.56,1024069.73,273653.77,1153.05,555.8,52.65,103.69,148.07,28.36,-0.05,-0.3,11.36
"7","1101053","종로구 사직동","01","50",325,45.84,6.78441652266837,5.73515579621331,2.94997636066314,4.92274424218537,8.3545991405306,3.2,5.76437313802784,3.60888956319483,8.29445649608584,1.66,2.25,65.93,551.34,2.08,6892.86,-0.02,103.99,18.82,18.42,6.56,5,32.69,13.31,1021856.68,264755.68,1085.05,561.26,46.31,91.68,103.99,25.18,-0.08,-0.39,10.25
"8","1101053","종로구 사직동","01","55",353,45.45,5.77997244304448,4.99605742725265,3.0003311359392,5.04027198045808,19.1530030903864,2.91,5.64456616942294,3.63841447650071,15.8417402916133,1.74,2.22,68.38,508.31,2.78,5708.33,-0.01,93.58,14.63,19.59,6.45,3.68,34.07,12.97,1042460.86,280886.24,1218.76,581.6,42.2,71.63,92.32,23.01,-0.1,-0.45,10.08
"9","1101053","종로구 사직동","01","60",247,38.03,4.5925578161489,4.05722901046623,4.23700902362846,3.79010975639847,13.0477191030756,1.74,3.85622323464134,2.18335504655045,8.63026445139296,1.62,2.25,70.62,537.11,3.33,4858.33,-0.01,93.37,15.53,17.53,5.87,4.33,32.87,13.4,1050464.3,278130.67,1130.74,524.92,40.34,59.54,70.66,19.57,-0.06,-0.5,7.96
"10","1101053","종로구 사직동","01","65",180,30.63,2.25918727767567,1.0354886006199,6.34320222843089,1.26548688965528,5.62328788304944,0.67,1.65642318730219,0.89198995940504,2.24151810167502,1.67,2.38,68.86,548.31,1.67,4962.96,-0.01,77.15,12.85,16.58,5.03,3.2,28.75,12.05,1113876.58,295306.41,805.78,441.38,39.7,43.96,59.92,20.09,-0.07,-0.58,4.33
"11","1101053","종로구 사직동","01","70",166.08,28.95,2.05774901342675,2.12011881039553,0,2.4688621153437,4.49863030643955,0.31,2.51192816678769,1.21876137059196,1.485950202234,1.52,1.24,0,0,0,1500,-0.12,52.19,9.68,12.68,4.2,1.37,24.24,10.52,1224653.21,319256.27,637.95,315.02,31.34,30.73,37.1,11.92,-0.21,-0.61,6.67
"12","1101053","종로구 사직동","01","75",295.92,84.35,6.30799943299311,6.1631141611237,8.74769701851428,7.6694740225174,3.0019055616279,0.6,9.44629263769957,1.59526540123782,2.98029560335068,1.43,1.01,0,0,3.33,4083.33,-0.22,54.23,9.89,9.94,3.49,1.44,19.17,8.57,1402463.61,400609.52,496.32,273.12,31.27,30,30.57,11.87,-0.37,-0.62,10.71
"13","1101053","종로구 사직동","02","20",365.05,96.82,10.3475159760776,8.21304402948694,4.78278007801734,3.30991408086655,0,6.46,4.04161205871359,1.96309875036491,0,2.06,3.31,62.28,486.72,3.33,5066.67,-0.04,104.97,16.04,7.01,3.76,8.71,28.15,11.6,1101599.52,287972.71,764.22,398.51,36.64,62.27,92.86,16.46,0.09,-0.16,11.77
"14","1101053","종로구 사직동","02","25",365,130,5.8921852166481,8.99746178181065,9.07977341928372,15.7103466692986,5.60637573904027,13.1,8.95218536914946,13.0350589725507,5.5660168592155,2.01,3.13,51.03,544.88,2.5,7190.48,0.15,100.64,14.78,11.69,4.62,12.87,29.58,13.94,1008487.85,256550,815.77,517.85,43.93,102.21,153.67,26.53,0.15,-0.01,15.16
"15","1101053","종로구 사직동","02","30",428,137.89,12.3684636495418,13.1172262129345,9.66698271604776,13.1184286371217,10.2741274855715,16.44,12.0787100928058,8.63947079083671,8.16013331396299,1.9,2.88,57.31,548.92,2.59,6489.8,0.09,106.1,12.93,12.46,5.48,10.14,29.16,12.8,1054238.03,280939.81,838.46,500.53,37.9,110.03,166.32,29.39,0.03,-0.06,15.11
"16","1101053","종로구 사직동","02","35",407.85,105.14,8.02158443099245,10.831648076677,5.43626545968566,9.32233388587547,9.99507710942021,13.05,9.48494973558698,5.20404344237084,6.62381191843292,1.86,2.76,55.77,542.64,2.96,5182.29,0.04,98.66,14.44,13.44,5.86,8.58,26.35,11.43,1077958.98,291223.18,684.78,424.74,39.22,108.73,181.97,28.42,0.01,-0.18,13.29
"17","1101053","종로구 사직동","02","40",413,83.36,5.94331894436759,6.66224519852511,5.32671252746413,4.88963754985068,1.42907616877497,5.94,5.720515011826,8.23663172074959,4.25636583351773,1.74,2.73,48.68,539.82,2.38,6917.87,-0.01,107.5,15.62,14.6,6.52,6.5,25.23,10.69,1131776.89,296404.88,625.69,404.43,37.86,101.76,172.7,24.85,-0.03,-0.26,12.43
"18","1101053","종로구 사직동","02","45",420,98.08,10.0484311303083,16.4387265418831,6.75511719121427,9.99137415447706,12.4980744227776,6.29,11.9155495039487,9.87010573701588,9.31027556088987,1.66,2.56,61.01,529.33,2.33,8509.43,-0.06,119.24,16.83,15.61,6.37,4.31,26.47,10.27,1168257.99,314466.04,693.99,406.49,37.07,91.93,138.9,22.72,-0.1,-0.33,11.21
"19","1101053","종로구 사직동","02","50",391,51.84,5.72814203439312,5.56774130618828,2.94546422341585,5.8767815148153,16.1088171687356,2.68,6.27745166293151,3.31710322608862,17.3276904938473,1.68,2.54,63.79,497.15,2.41,6086.76,-0.07,120.81,16.85,16.34,5.99,4.27,28.32,11.07,1154989.43,304978.43,799.36,445.92,37.25,75.74,122.16,17.54,-0.12,-0.37,8.19
"20","1101053","종로구 사직동","02","55",380.88,54.13,4.6916172190465,5.16829489373689,2.45866569814201,5.19830447965239,3.23021950575171,1.92,5.24398417811456,5.51945567109826,1.61187818547417,1.64,2.35,60.6,497.21,2.5,6806.2,-0.13,113.33,16.29,15.96,5.83,2.47,25.79,10.63,1179052.09,314556.71,719.47,387.71,33,52.93,92.58,13.77,-0.17,-0.46,8.94
"21","1101053","종로구 사직동","02","60",288,51.86,4.08223487370329,7.25881904283586,4.28213923883981,6.22293772113344,4.06737063420569,1.25,6.09758469050742,3.87069535606802,5.38971768267926,1.64,2.61,57.44,484.37,3.33,4571.43,-0.07,116.23,13.7,15.17,4.96,2.9,23.2,10.12,1240303.81,319494.9,572.95,344.93,35.37,45.91,76.03,14.91,-0.12,-0.54,9.52
"22","1101053","종로구 사직동","02","65",248,43.18,3.10333431796687,5.03097703556971,2.60214299014145,4.8111699135782,6.97625940378314,0.58,3.96357055094043,2.94252097307274,5.53243606368478,1.67,2.62,65.89,526,2.5,5416.67,-0.1,120.61,13.5,13.51,4.41,1.63,21.24,9.43,1299693.64,343490.17,584.09,313.47,31.66,33.15,47.54,11.75,-0.16,-0.59,4.87
"23","1101053","종로구 사직동","02","70",218.21,43.36,4.85167159949693,4.44470172827222,0,7.13817779667673,11.5848186462823,0.24,5.68335643482453,3.06684015175308,9.85596348826394,1.61,1.25,0,0,3.33,11666.67,-0.19,103.91,15.88,12.12,3.88,0.81,18.88,7.48,1396152.82,382322.82,438.68,252.48,30.06,22.13,35.85,12.14,-0.34,-0.61,8.89
"24","1101053","종로구 사직동","02","75",359.79,123.94,11.2115845306189,7.19110268318769,5.55390775284624,10.2252183209661,4.97217033869635,0.43,14.2350111696233,10.1011116640831,4.93637694301465,1.53,1,0,0,1.67,8388.89,-0.25,91.44,9.84,9.17,2.85,1.25,12.87,5.82,1488314.81,422461.11,300,193.06,27.74,14.96,29.06,13.81,-0.48,-0.63,4
"25","1101054","종로구 삼청동","01","20",103,50.52,5.749340838273,13.1714162982936,9.01858517887629,17.9406416806375,0.997816496541104,1.54,18.2535925711529,2.2733550679039,0.990633468156001,3.56,4.64,122.82,433.15,1.67,6428.57,0.03,91.97,15.56,8.08,2.77,22.64,10.65,6.93,1291625.49,360915.36,522.58,313.26,89.16,91.96,123.37,35.1,0.4,0.14,13.96
"26","1101054","종로구 삼청동","01","25",80,39.18,1.91357341370449,5.25917483364911,1.89537816774935,5.51011678318127,0,3.9,5.60623352107931,1.81441292700582,0,2.9,4,64.44,458.89,1.67,7500,0.26,176.14,7.92,15.33,4.47,19.98,32.19,12.67,1060620,286820,882.46,424.56,75.25,103.92,156.58,35.88,0.34,-0.18,16.86
"27","1101054","종로구 삼청동","01","30",116,56.92,14.3834158220265,4.39105442507184,11.8708622339682,6.90281860042798,0,5.81,11.7040540884447,6.81903694289488,0,2.13,3.17,84.38,623.13,2.78,7142.86,0.14,97.96,7.58,15.37,4.44,19.84,30.15,14.56,1040337.68,271878.26,670,401.75,52.14,133.33,179.56,31.84,0.15,-0.11,16.67
"28","1101054","종로구 삼청동","01","35",99,46.48,4.54314639014907,4.16205635480008,8.99602967344535,6.53722754980654,0,2.48,6.65126088371018,0,0,2.4,2.45,76.92,592.14,0,4222.22,0.15,82.04,8.89,14.8,4.65,13.78,34.82,15.98,904621.67,237851.67,1203.51,598.04,71.17,122.54,126.25,28.77,0.15,-0.27,10.28
"29","1101054","종로구 삼청동","01","40",102,31.71,7.08140541846613,4.8679177520001,0.875479028944916,5.10019083846099,5.79240932314115,1.36,5.1891569575724,1.67861256858711,8.62186925251028,1.83,3.2,54.21,624.55,1.67,5458.33,0.07,150.8,14.03,24.78,7.17,10.14,34.03,14.06,999924.76,277380,1143.33,550.57,52.63,132.16,173.97,34.17,-0.01,-0.23,11.17
"30","1101054","종로구 삼청동","01","45",114.17,34.62,2.71748183168876,2.48953292615844,6.72660963599885,3.9100621915424,0,2.36,2.65381992117118,2.57666318365822,4.51661699888075,2.12,2.32,80.59,658.89,0,5428.57,0.17,131.16,12.75,25.07,6.59,9.15,37.78,14.93,923624,236381.33,1216.67,669.44,69.03,115.76,168.19,31.97,0.13,-0.22,14.1
"31","1101054","종로구 삼청동","01","50",112.59,30.84,10.5066669617277,7.7061151202684,0.694686466009171,7.400630994252,18.2143790978774,0.69,8.21465006794014,1.33002281612195,10.3428850234593,1.6,2.33,64.29,503.85,0,666.67,-0.06,79.11,10,18.22,4.61,5.53,29.43,11.11,1141925.58,304179.07,1036.46,362.37,44.37,105.27,148.05,22.01,-0.16,-0.51,10.56
"32","1101054","종로구 삼청동","01","55",113,27.08,4.60009684933756,4.21422967263289,1.1385958614251,2.20861209907957,4.87915354664591,1.01,1.12259642849413,4.36172196433208,4.84402975530519,1.78,1.91,88,526.67,0,5200,-0.07,83.65,8.97,19.21,5.71,3.75,33.97,12.2,1072294.2,280186.96,961.9,442.86,36.75,91.94,66.42,22.5,-0.15,-0.45,5
"33","1101054","종로구 삼청동","01","60",84,20.27,2.5557402725496,2.92577939647067,2.53143897189218,0.612306442283578,0,0.38,1.2479337248074,1.81652618698722,0,1.58,1.9,67.5,591.88,0,2250,-0.11,102.74,14,20.12,5.61,2.85,31,12.53,1061273.33,293065.56,851.72,445.68,35.34,62.94,49.36,16.3,-0.12,-0.55,5.83
"34","1101054","종로구 삼청동","01","65",77,18.16,1.18226615472408,0.542445503056341,1.75750783356837,0.568328333796437,2.55373374538486,0.25,2.31105358657978,0,0,1.43,2.1,75.83,545,0,5444.44,-0.01,98.85,8.33,18.46,5.56,2.95,29.58,11.67,1201249.43,310134.48,1000,484.72,38.56,56.52,39.25,15.67,-0.09,-0.54,11.67
