"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",220,67.65,8.16,6.95,6.77,2.59,0,5.35,12.57,5.15,2.23,2.57,4,81.85,527.7,1.67,8000,0.13,69.36,14.3,8.43,3.7,15.04,18.12,8.54,614339.18,201954.3,474.33,286.51,80.34,95.28,120.33,29.18,0.3,0.02,13.74
"2","1101053","종로구 사직동","01","25",321,112.05,10.48,8.34,9.69,11.42,4.36,13.33,8.73,14.89,8.65,2.27,3.45,60.83,530.67,2.31,8838.1,0.24,74.04,8.1,12.25,4.48,13.21,18.32,10.83,633318.62,207720.23,459.26,423.06,64.82,118.49,149.39,31.94,0.26,-0.12,18.47
"3","1101053","종로구 사직동","01","30",349,115.35,14.97,17.05,11.54,17.03,11.86,18.66,16.91,16.93,11.78,2,2.95,67.11,520.2,2.39,7305.22,0.21,78.16,9.33,16.11,5.99,10.8,18.89,10.66,641485.44,219332.02,505.78,467.18,60.3,138.87,172.99,34.1,0.16,-0.07,18.51
"4","1101053","종로구 사직동","01","35",353,106.85,20.1,14.74,6.32,16.64,19.51,15.89,19.04,8.52,21.15,1.81,2.62,67.72,503.43,2.5,7080.25,0.12,69.59,11.21,17.61,6.17,7.73,20.66,10.33,622400.17,214484.04,662.65,430.57,57.72,138.49,180.29,34.96,0.03,-0.14,17.33
"5","1101053","종로구 사직동","01","40",419,78.75,18.23,10.12,8.82,9.42,16.56,10.41,14.91,7.1,14.61,1.8,2.46,62.21,514.09,2.67,5636.9,0.02,68,12.46,18.55,6.7,7.36,20.25,9.55,602445.55,202953.73,657.8,425.85,50.27,134.68,164.31,34.59,-0.03,-0.2,15.52
"6","1101053","종로구 사직동","01","45",351,79.47,15.27,9.54,4.97,9.51,14.48,7.93,10.28,8.35,14.39,1.71,2.43,65,516.36,2.62,7187.5,-0.01,79.68,15.89,19.71,7.03,5.33,21.42,10.35,602337.91,211946.67,762.26,461.14,52.45,107.05,155.49,31.75,-0.07,-0.25,12.06
"7","1101053","종로구 사직동","01","50",323,49.8,8.18,4.53,3.29,4.65,12.6,3.49,6.77,3.46,7.97,1.59,2.24,65.95,519.74,2.62,5687.07,-0.03,72.55,15.3,18.4,6.98,3.75,20.91,10.43,605017.51,201887.68,728.57,472.22,46.69,100.25,107.19,26.56,-0.1,-0.37,10.3
"8","1101053","종로구 사직동","01","55",350,54.31,9.93,7.03,3.77,6.31,18.57,2.95,8.51,4.03,15.38,1.58,2.16,74.27,499.27,3,5119.05,-0.03,65.65,12.5,19.13,6.48,2.43,20.85,10.04,661536.85,230597.99,775.56,489.53,43.9,76.64,91.29,22.68,-0.12,-0.45,7.06
"9","1101053","종로구 사직동","01","60",245,38.35,5.09,4.57,3.5,4.02,11.39,1.73,4.44,2.33,9.05,1.56,2.21,74.73,541.94,1.67,3725,-0.02,59.38,11.47,17.17,6.28,2.65,21.61,10.21,653168.87,225009.95,735.11,457.87,42.5,60.39,77.97,21.11,-0.08,-0.5,7.35
"10","1101053","종로구 사직동","01","65",179,31.56,2.7,1.35,5.59,2.58,3.6,0.72,2.02,0.79,0,1.49,2.26,63.38,498.82,0,4575.76,-0.06,54.26,9.56,16.69,5.24,2.13,18.98,9.33,681060.09,225693.15,516.67,328.94,40.48,46.06,63.87,21.9,-0.09,-0.58,6.9
