"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",220,74.25,12.3600097284343,6.49998947188131,9.6799994332956,6.78999562736268,0,5.64,12.0899717669039,4.18001362241773,0,2.5,4.12,86.22,519.43,1.67,9541.67,0.1,69.4,9.51,7.97,3.65,11.81,17.35,8.24,729825.61,184265.85,489.74,277.94,75.02,89.83,116.81,25.73,0.28,-0.08,15.18
"2","1101053","종로구 사직동","01","25",327.13,93.37,6.57000517118233,6.64998922892472,8.50999950179189,7.57999511861695,4.66001526472583,11.48,7.70998199527125,11.1900364676685,4.63000189721305,2.42,3.67,57.78,528.46,2.59,8703.7,0.24,64.79,8.29,11.96,4.21,13.26,20.1,8.76,695136.67,188994.76,566.67,340.71,60.41,105.87,132.78,29.03,0.29,-0.11,17.63
"3","1101053","종로구 사직동","01","30",353.44,107.49,14.5900114836454,15.9399741818135,7.26999957438626,13.5899912482855,7.60002489526102,19.91,13.8299677035799,15.2900498293701,6.03000247088438,2.08,2.94,59.67,539.36,2.44,8222.22,0.21,86.83,10.42,16.54,5.56,10.34,19.95,9.61,707847.87,191799.56,622.91,369.71,60.99,133.2,164.88,31.79,0.16,-0.07,18.26
"4","1101053","종로구 사직동","01","35",360.34,87.57,15.3900121133175,12.3099800613629,6.6099996130252,14.7399905077063,20.0800657759002,16.97,13.9499674233507,7.51002447472659,27.1800111374191,1.82,2.62,70.16,557.5,2,7256.41,0.1,69.55,11.37,18.17,6.31,6.86,22.03,8.4,686818.71,182917.96,722.22,373.38,54.35,131.29,175.01,30.36,0.07,-0.12,17.01
"5","1101053","종로구 사직동","01","40",427,78.87,16.4500129476331,9.40998475852356,9.82999942451402,7.72999502201966,24.0500787803984,11.93,11.9699720471332,7.9500259086653,15.9100065193649,1.86,2.46,67.25,552.28,2.71,6533.33,0.07,72.59,10.42,19.25,6.83,7.35,21.39,8.55,649044.29,165280.88,712.98,363.97,52.18,130.72,169.01,34.81,0.01,-0.16,15.89
"6","1101053","종로구 사직동","01","45",359.32,71.54,12.4200097756597,6.63998924512183,7.83999954101627,7.74999500914002,13.2400433701652,9.11,8.64997980014219,7.81002545241208,10.5100043066326,1.9,2.49,68.85,565.89,2.6,6640,0.02,77.49,15.64,20.15,7.03,5.16,22.66,8.72,670182.83,179404.55,806.78,393.89,52.6,107.22,150.47,30.28,-0.03,-0.27,11.69
"7","1101053","종로구 사직동","01","50",324.78,46.32,7.12000560408192,4.68999240355744,4.40999974182165,4.38999717291932,8.45002767959942,3.68,5.12998802019994,3.70001205812096,6.00000245859142,1.7,2.28,70.32,560.48,2.33,6128.21,-0.01,70.19,15.77,18.14,6.64,3.38,22.02,8.57,689799.5,178001.77,713.19,381.52,46.79,98.55,108.27,24.89,-0.09,-0.39,9.31
"8","1101053","종로구 사직동","01","55",352.42,44.95,7.38000580872535,5.58999094581793,1.6899999010609,5.65999635506226,23.3500764874138,3.23,6.13998566160382,4.27001391572338,17.000006966009,1.72,2.18,70.4,498.15,2.78,4673.2,-0.03,62.8,11.79,19.58,6.7,2.26,23.08,8.51,726922.22,192208.68,842.66,407.16,43.06,72.25,94.76,23.13,-0.11,-0.45,8.45
"9","1101053","종로구 사직동","01","60",249,38.96,4.00000314836063,4.49999271130245,4.17999975528673,3.85999751422974,12.4400407496115,1.94,3.75999121948377,2.48000808219999,10.1000041386289,1.64,2.26,72.5,542.67,2.5,3914.53,-0.01,61.75,10.9,17.08,5.99,2.77,22.28,8.28,713581.72,185829.3,748.3,352.62,40.5,58.59,70.57,20.04,-0.05,-0.49,7.3
"10","1101053","종로구 사직동","01","65",180.59,39.28,3.65000287287907,0.889998558457595,7.27999957380082,1.63999894386963,3.40001113735361,0.69,2.61999388166157,0.690002248676611,2.24000091787413,1.65,2.39,70.35,522.28,1.67,6711.11,-0.03,46.4,9.27,16.19,4.91,2.16,19.33,7.8,768959.62,198065.16,527.55,275.19,40.38,44.35,60.71,20.87,-0.07,-0.56,4.52
"11","1101053","종로구 사직동","01","70",165.33,29.63,2.70000212514342,1.48999758663125,0.539999968386325,2.85999815821167,7.63002499353178,0.36,3.16999259727754,1.28000417145806,3.03000124158867,1.48,1.27,0,0,0,800,-0.12,35.35,9.41,12.65,4.23,0.95,16.6,7.07,850748.6,218489.41,399.64,195.06,31.57,31.02,34.89,12.5,-0.21,-0.6,3.61
"12","1101053","종로구 사직동","01","75",297.67,80.9,6.55000515544052,4.89999206341822,8.1699995216968,8.26999467426942,3.05000999086133,0.9,9.20997849240574,1.550005051375,4.55000186443183,1.45,1.01,0,0,3.33,4714.29,-0.23,38.87,8.41,10.18,3.57,0.94,13.33,5.81,957186.84,273874.07,337.56,198.92,30.89,31.38,32.89,12.02,-0.38,-0.62,7.5
"13","1101053","종로구 사직동","02","20",365,84.65,8.43000663517002,3.879993715523,5.39999968386325,5.20999664485413,0,9.28,4.70998900100228,2.85000928801209,0,2.05,3.26,65.06,472.38,1.67,5300,-0.02,62.69,13.33,6.7,3.77,5.83,18.77,7.71,748164.49,189550.97,556.72,298.98,36.96,67.76,101.9,17.1,0.1,-0.13,12.85
"14","1101053","종로구 사직동","02","25",364.79,117.1,6.76000532072946,8.799985746547,7.78999954394346,12.9899916346747,5.32001742668271,16.11,8.80997942650321,10.6500347078347,3.53000144647129,2.1,3.2,58.83,521.99,2.78,6863.95,0.15,66.95,11.45,11.46,4.63,8.37,20.19,8.65,674330.33,172413.83,610.18,338.48,43.74,103.15,156.13,25.51,0.13,-0.01,15.63
"15","1101053","종로구 사직동","02","30",431.37,111.03,11.0800087209589,11.7099810331893,9.66999943388103,11.7099924589716,15.2500499543066,19.39,10.829974709311,6.81002219346047,15.1400062038457,1.88,2.8,62.91,522.92,2.71,6166.67,0.09,67.94,8.47,12.11,5.32,6.77,19.78,8.12,721159.76,189689.01,560.3,328.85,37.63,105.8,167.25,27.46,0.04,-0.07,15.67
"16","1101053","종로구 사직동","02","35",409.36,137.73,10.2800080912868,12.9299790571424,2.84999983315005,13.7299911581281,6.88002253676261,14.69,10.6199751997121,6.49002115059595,6.83000279869657,1.79,2.78,50.22,539.49,3,5738.1,0.03,63.53,12.65,13.07,5.79,5.88,18.45,7.35,727558.12,192705.56,481.35,284.29,38.5,107.95,184.62,27.24,0.01,-0.19,13.54
"17","1101053","종로구 사직동","02","40",415,86.88,4.91000386461267,4.98999191764427,4.06999976172656,5.02999676077088,3.04000995810441,7.45,4.69998902435472,9.21003001494433,3.02000123749102,1.75,2.66,52.95,535.03,2.38,7079.81,0,71.17,11.43,14.44,6.69,4.65,17.45,6.97,762737.3,194931.84,483.08,282.86,38.15,102.31,177.93,25.73,-0.02,-0.25,11.84
"18","1101053","종로구 사직동","02","45",426,79.67,7.56000595040158,10.9599822479722,4.80999971840411,7.90999490610291,7.6800251573164,6.97,9.98997667091567,7.52002450731611,7.63000312650876,1.62,2.52,63.29,502.29,2.19,7666.67,-0.06,78.23,13.31,15.54,6.32,2.82,18.25,6.66,778179.32,210346.76,507.92,285.34,36.22,91.82,143.59,22.55,-0.1,-0.33,10.73
"19","1101053","종로구 사직동","02","50",390.64,51.95,5.05000397480529,5.44999117257741,2.27999986652004,6.07999608458985,14.7200482181898,3.09,5.6299868525781,4.32001407867096,11.9600049007922,1.69,2.49,67.47,494.05,2.27,6700.48,-0.06,78.88,12.43,16.1,6.18,2.93,19.28,7.31,782975.78,204581.6,544.97,297.23,38.12,77.01,124.17,18.4,-0.12,-0.37,8.29
"20","1101053","종로구 사직동","02","55",383.02,52.13,3.77000296732989,5.33999135074557,1.94999988583951,5.21999663841431,6.74002207816569,1.96,5.67998673581591,5.2800172072645,3.35000137271354,1.59,2.35,55.41,499.35,2.41,6612.61,-0.12,68.31,11.82,15.03,5.61,1.65,17.56,6.61,807932.44,216763.66,502.75,240.49,33.2,53.03,93.94,15.44,-0.15,-0.47,8.67
"21","1101053","종로구 사직동","02","60",291.77,52.66,4.4600035104221,6.27998982821763,5.0999997014264,5.85999622626588,6.83002237297799,1.45,6.02998591848063,3.2300105264137,5.43000222502523,1.67,2.61,65.67,468.88,2.92,4368.42,-0.07,76.88,10.86,15.2,4.99,1.91,15.51,6.56,828930.16,215474.04,400.9,239.87,36.07,49.28,82.57,14.78,-0.12,-0.55,11.81
"22","1101053","종로구 사직동","02","65",249,43.47,2.18000171585654,3.99999352115773,3.60999978865673,4.41999715359986,5.61001837663346,0.72,3.54999170988495,3.20001042864515,6.96000285196605,1.66,2.58,78.67,533.53,2.22,6133.33,-0.1,78.8,11.96,13.97,4.6,1.19,14.43,6.27,879050.57,228292.15,409.15,237.47,33.03,35.33,52.84,12.47,-0.13,-0.57,4.38
"23","1101053","종로구 사직동","02","70",226.89,34.63,3.46000272333194,3.17999484932039,0,5.46999647741883,8.19002682791944,0.29,4.58998928123152,3.0400099072129,8.13000333139138,1.63,1.2,0,0,3.33,9888.89,-0.19,69.06,12.72,11.9,4.06,0.54,12.81,5.14,949316.06,253143.31,306,187.18,31.76,23.51,36.42,12.33,-0.33,-0.6,7.67
"24","1101053","종로구 사직동","02","75",351.45,114.93,13.7700108382315,5.84999052469318,4.74999972191674,11.1999927874024,4.92001611640582,0.52,13.4699685442677,8.02002613679191,3.25000133173702,1.54,1,0,0,1.67,6809.52,-0.26,60.55,8.72,9.13,2.99,0.8,9.37,4.04,1019083.02,287455.35,212.99,137.8,28.6,15.6,30.52,12.57,-0.5,-0.64,2.92
