"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",221.05,50.67,6.27,4.84,5.59,1.99,0,5.24,6.08,3.5,2.31,2.49,3.91,79.38,621.58,1.67,8424.24,0.1,74.96,13.95,9.9,4.13,13.78,20.09,8.53,662967.72,199825.45,489.01,281.48,73.84,96.57,116.94,31.22,0.28,-0.03,14.94
"2","1101053","종로구 사직동","01","25",321,108.32,6.64,8.21,7.18,5.63,2.22,13.12,8.58,14.1,8.85,2.2,3.34,69.48,591.65,2.44,8191.67,0.25,73.23,9.27,12.57,4.57,13.56,19.37,10.18,657966.43,192391.96,503.51,391.86,67.52,115.21,151.09,31.98,0.25,-0.06,18.97
"3","1101053","종로구 사직동","01","30",351.27,106.5,14.19,12.76,9.67,13.14,11.2,19.74,15.36,15.55,11.14,2.02,2.92,64.07,597.63,2.41,7271.32,0.22,85.9,10.46,17.23,6.12,10.67,19.53,10.02,651059.86,198320.68,527.68,412.68,61.56,138.26,172.25,34.61,0.15,-0.08,20.08
"4","1101053","종로구 사직동","01","35",353,105.84,19.36,13.1,4.08,13.98,10.66,14.94,17.75,9,19.43,1.79,2.79,65.91,586.44,2.5,7466.67,0.1,70.28,10.54,18.36,6.31,7.79,20.63,9.31,655861,197764.59,701.85,415.35,57.81,136.94,176.48,33.86,0.04,-0.15,18.17
"5","1101053","종로구 사직동","01","40",420,78.73,19.08,11.68,7.14,10.73,14.81,10.14,14.52,6.04,12.88,1.8,2.47,71.45,596.67,2.5,5644.44,0.01,71.27,12.38,18.6,6.77,6.64,20.2,8.32,637634.52,190925.38,721.68,413.71,51.29,127.85,159.07,32.96,-0.03,-0.2,16.1
"6","1101053","종로구 사직동","01","45",352,69.86,14.14,5.96,6.5,7.6,13.19,7.59,9.46,8.35,11.8,1.69,2.37,73,612.01,2.62,7616.67,-0.02,75.74,15.85,19.77,7.06,5.28,22.84,9.42,634272.12,197844.62,841.67,436.62,52.96,104.48,153.93,31.33,-0.07,-0.27,13.31
"7","1101053","종로구 사직동","01","50",323,49.97,8,4.03,4.4,5.14,12.58,3.67,6.06,4.15,7.97,1.67,2.29,72.47,589.49,2.29,6308.18,-0.03,71.79,13.82,18.14,7.04,3.71,22.31,9.56,637469.3,192077.49,815.26,446.64,48.16,100.97,115.57,25.85,-0.09,-0.37,9.89
"8","1101053","종로구 사직동","01","55",351,43.87,8.22,5.84,2.23,5.83,18.67,3.01,7.77,2.67,18.56,1.57,2.16,77.7,524.93,3.33,4702.9,-0.03,65.72,12.3,20.61,6.81,2.48,22.41,9.36,688433.79,212473.24,957.45,512.45,42.79,76.54,91.85,23.46,-0.12,-0.46,8.5
"9","1101053","종로구 사직동","01","60",245,39.16,4.94,3.44,4.12,3.37,10.12,1.79,4.79,1.86,11.18,1.52,2.27,77.57,597.69,1.67,3377.19,-0.01,60.09,12.99,17.29,6.3,2.83,21.51,9.55,685131.01,208409.39,772.05,419.37,42.68,64.26,79.07,22.17,-0.08,-0.53,7.9
"10","1101053","종로구 사직동","01","65",181,29.33,3.06,1.34,3.7,2.07,4.55,0.75,2.26,0.52,1.13,1.51,2.21,74.13,577.71,1.67,6568.63,-0.06,52.21,10,16.79,5.35,2.32,19.39,8.93,704683.44,211119.14,607.86,308.46,41,45.27,61.48,21.59,-0.1,-0.58,8.81
"11","1101053","종로구 사직동","01","70",162.54,23.32,2.26,2.72,0.22,3.45,9.61,0.47,3.28,0.86,6.37,1.41,1.2,0,0,0,1571.43,-0.12,36.93,6.98,13.51,4.67,0.89,18.28,7.81,803968.32,239911.55,523.86,269.51,34.1,39.37,42.29,13.33,-0.22,-0.59,12.08
"12","1101053","종로구 사직동","01","75",300.46,84.65,7.53,4.52,7.33,6.77,4.81,0.9,9.45,1.69,3.19,1.38,1.01,0,0,0,866.67,-0.23,39.75,11.67,10.47,3.87,1.03,12.79,6.24,904962.7,284956.94,382.87,235.78,32.56,29.02,31.83,12.25,-0.38,-0.63,7.78
"13","1101053","종로구 사직동","02","20",363.12,87.93,6.14,6.26,5.38,3.52,0,8.93,3.57,4.11,0,2.04,3.3,67.01,550.56,2.22,6937.5,0.05,61.55,12.54,7.3,4.01,7.21,21.82,7.86,684386.57,211135.73,481.51,283.21,34.89,75.62,113.73,17.46,0.12,-0.11,15.68
"14","1101053","종로구 사직동","02","25",365,132.01,4.9,6.81,9.53,12.85,6.89,15.85,10.09,11.7,8.56,2.02,3.19,59.71,602.4,2.42,7028.37,0.16,66.89,12.43,11.49,5.05,8.92,19.22,9.04,649340.26,193283.66,507.07,366.16,41.49,107.81,167.87,25.75,0.14,-0.03,16.84
"15","1101053","종로구 사직동","02","30",429.23,110.44,7.81,9.17,8.62,9.44,8.24,19.42,10.09,5.47,10.24,1.91,2.88,61.85,592.55,3,5383.33,0.1,64.75,9.71,11.07,5.23,7.23,18.78,8.77,634781.14,194451.38,530.24,390.27,36.49,111.64,174.26,27.86,0.03,-0.04,14.81
"16","1101053","종로구 사직동","02","35",405.54,108.11,12.16,11.27,3.95,6.87,6.88,14.17,8.29,5.16,5.13,1.65,2.61,59.5,560.57,2.71,5074.83,0.04,63.03,10.61,13.89,6,5.78,18.76,8.11,680698.14,213347.68,460.37,322.17,37.07,111.27,199.79,28.96,-0.01,-0.18,14.5
"17","1101053","종로구 사직동","02","40",412,82.02,5.06,8.08,4.3,6.71,2.88,6.85,6.81,7.44,0,1.62,2.67,57.95,572.82,2.18,6171.17,-0.01,74.65,13.38,14.6,6.9,4.33,17.07,7.8,734128.72,222546.45,416.98,323.15,37.26,107.18,179.59,26.39,-0.05,-0.26,13.17
