"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",220,69.68,12.17,7.77,5.23,5.14,2.46,5.23,11.18,3.65,2.44,2.55,4.08,94.42,593.27,1.67,9037.04,0.08,65.96,9.51,7.56,3.57,12.97,18.18,7.67,682997.8,166627.84,508.53,278.63,99.62,120.49,153.11,33.58,0.29,-0.03,18.01
"2","1101053","종로구 사직동","01","25",321,112.87,9.03,10.49,14.03,9.45,4.39,12.11,8.85,14.44,4.36,2.43,3.72,90.84,558.43,2.36,9333.33,0.23,68.49,9.6,11.76,4.27,12.97,19.86,9.39,679420.78,168249.32,545.71,407.06,85.56,144.63,174.69,39.45,0.26,-0.09,22.93
"3","1101053","종로구 사직동","01","30",352.33,101.06,14.46,11.55,10.41,14.08,10.71,19.46,14.6,13.16,9.13,2.05,3.02,72.66,587.67,2.47,7607.59,0.2,87.19,9,16.91,5.94,10.71,19.26,9.71,690419.09,171018.45,600.66,423.59,82.16,180.49,228.32,44.16,0.13,-0.07,24.44
"4","1101053","종로구 사직동","01","35",349.49,104.74,18.82,16.03,5.13,17.17,19.65,14.8,18.45,11.04,23.09,1.83,2.79,82.18,560.58,2.22,7622.64,0.12,67.2,9.48,17.6,6.33,7.41,21.19,8.34,675285.57,172523.39,712.25,374.89,76.3,182.92,236.4,42.5,0.06,-0.12,22.59
"5","1101053","종로구 사직동","01","40",421,76.58,15.45,8.16,9.14,9.16,15.81,9.88,13.43,7.75,15.73,1.88,2.56,85.75,578.79,2.67,6416.67,0.05,68.35,10.85,18.27,6.87,7.2,20.61,8.74,654662,158455.18,671.61,382.08,69.18,169.89,218.08,45,0,-0.16,20.23
"6","1101053","종로구 사직동","01","45",350.27,68.2,12.94,8.35,7.26,8.93,16.66,7.05,9.84,7.86,15.19,1.73,2.52,87.94,604.59,2.56,6875.62,-0.01,77.32,14.73,19.44,6.9,5.06,22.68,9.27,668396.21,174375.41,782.17,430.69,70.02,136.59,198.1,40.21,-0.05,-0.26,14.84
"7","1101053","종로구 사직동","01","50",320.73,48.54,7.86,4.29,2.85,3.63,8.1,3.2,7.04,3.77,4.6,1.66,2.33,82.01,591.76,2.29,6475.31,-0.02,73.29,15.18,18.54,6.88,3.2,21.17,8.92,663898.17,163623.9,703.12,397,61.71,125.52,138.26,32.18,-0.09,-0.34,11.4
"8","1101053","종로구 사직동","01","55",350,53.85,8.43,6.49,3.31,6.05,17.63,2.83,7.32,4.16,14.35,1.68,2.17,101.43,517.25,3,5174.6,-0.04,62.25,12.67,18.88,6.49,2.47,22.19,8.58,709912.31,180258.72,816.06,411.17,57.28,95.66,122.3,29.45,-0.09,-0.44,10.29
"9","1101053","종로구 사직동","01","60",245,38.42,4.24,4.8,1.99,3.56,9.63,1.81,3.43,2.3,9.58,1.59,2.23,88.11,557.79,2.22,4191.67,0,62.16,13.07,18.26,6.45,2.63,23.38,9.32,687460.1,174828.57,789.07,388.57,55.3,75.85,93.98,26.53,-0.05,-0.5,8.77
"10","1101053","종로구 사직동","01","65",179,30.26,2.7,1.25,5.3,1.86,5.84,0.68,1.89,0.55,0,1.63,2.49,106.48,551.77,0,4800,-0.05,48.94,8.37,16.69,5.25,2.04,19.34,7.95,734317.11,180605.15,522.95,293.09,54.31,57.16,82.85,26.88,-0.08,-0.55,5.1
