"","행정동코드","행정동명","성별","연령대","총인구","1인가구수","커뮤니케이션이 적은 집단","평일 외출이 적은 집단","휴일 외출이 적은 집단","출근소요시간 및 근무시간이 많은 집단","외출이 매우 적은 집단","외출이 매우 많은 집단","동영상서비스 이용이 많은 집단","생활서비스 이용이 많은 집단","외출-커뮤니케이션이 모두 적은 집단","야간상주지 변경횟수 평균","주간상주지 변경횟수 평균","평균 출근 소요시간 평균","평균 근무시간 평균","소액결재 사용횟수 평균","소액결재 사용금액 평균","SNS 사용횟수","평균 통화량","평균 문자량","평균 통화대상자 수","평균 문자대상자 수","데이터 사용량","평일 총 이동 횟수","휴일 총 이동 횟수 평균","집 추정 위치 평일 총 체류시간","집 추정 위치 휴일 총 체류시간","평일 총 이동 거리 합계","휴일 총 이동 거리 합계","게임 서비스 사용일수","금융 서비스 사용일수","쇼핑 서비스 사용일수","동영상/방송 서비스 사용일수","유튜브 사용일수","넷플릭스 사용일수","배달 서비스 사용일수"
"1","1101053","종로구 사직동","01","20",221.53,57.01,7.54721866112596,5.84067331514939,6.88646822762747,4.60576302776914,2.48107470046232,4.95,4.93716728505786,2.39898755082304,0,2.37,3.74,79.05,511.02,1.67,7066.67,0.05,110.25,16.83,8.68,3.56,16.33,23.49,9.65,1089949.04,347304.98,655.82,351.8,70.42,80.04,99.82,29.96,0.26,-0.05,13.17
"2","1101053","종로구 사직동","01","25",321,108.83,11.8209124828173,12.3512247331941,9.56081561936032,9.23858272585303,2.21102575347322,10.26,9.42312517727328,14.0917078040682,6.58745348134816,2.31,3.49,60.47,516.99,2.42,7201.39,0.22,122.34,9.71,12.34,4.32,18.43,25.86,11.96,1055091.55,336141.78,642.61,369.4,66.8,100.75,119.44,31.58,0.24,-0.09,16.01
"3","1101053","종로구 사직동","01","30",350.16,108.17,17.4254584477777,15.0291902844277,11.1515051135546,15.56539205565,13.6290327933559,16.41,15.0620791576927,13.4574685630893,9.47889298652006,1.97,2.85,66.18,539.09,2.73,7492.25,0.19,144.91,12.03,17.91,5.74,14.23,25.83,12.1,1092705.71,354552.24,674.11,397.98,61.26,123.38,133.06,30.23,0.17,-0.12,17.58
"4","1101053","종로구 사직동","01","35",353,105.09,19.5663511445203,13.1752280022901,6.3297769793818,13.1760723139596,13.34210578718,12.53,18.2396991440317,9.33179845518421,23.17342096174,1.9,2.53,60.34,538.17,2.38,7089.29,0.09,109.1,12.04,18.99,6.42,9.57,28.13,10.97,1054178.88,344428.22,797.55,370.76,52.98,115.5,135.08,27.58,0.08,-0.19,15.18
"5","1101053","종로구 사직동","01","40",421,80.38,13.5980921932293,7.31101130756421,11.2283107424903,8.26228171980178,13.3083496688064,10.91,9.83109709194844,5.11981467042356,13.2168118830611,1.83,2.38,65.03,542.47,2.14,5680.85,0.09,122.91,14.83,19.88,6.59,9.12,27.86,10.68,995985.38,309181.92,832.99,397.25,54.05,117.5,132.93,32.08,0.03,-0.17,13.52
"6","1101053","종로구 사직동","01","45",352,75.78,13.3811380421479,9.44610793850193,5.32775879887802,8.75313667533351,7.56980954528809,8.29,9.97853978280902,7.402398797359,10.0152759671896,1.75,2.43,64.01,556.27,2.38,6469.3,0.02,120.45,18.79,20.15,6.86,6.4,30.33,11.68,1026629.77,337075.65,900.41,485.59,52.06,95.79,121.55,25.77,-0.04,-0.29,10.19
"7","1101053","종로구 사직동","01","50",324,46.35,6.64172197162365,4.31868883592,4.62877409545004,4.79208817776098,11.7808853123993,3.27,5.54037527025526,3.16764277492374,11.699853765855,1.64,2.21,69.67,525.47,2.42,6941.18,-0.04,110.03,17.73,17.97,6.73,4.59,29.16,11.47,1047021.67,329546.82,875.6,412.8,42.14,81.67,88.43,19.74,-0.1,-0.37,7
"8","1101053","종로구 사직동","01","55",351,47.9,7.38349234769509,3.42824273665136,3.45971469170477,4.38687683048438,9.6880059732338,3.04,5.11372060753799,6.21458200993453,8.02060175782467,1.65,2.21,67.19,502.39,2.78,5162.79,-0.01,97.1,19.94,19.8,6.66,2.87,31.42,11.19,1044896.98,330272.06,979.5,442.44,40.69,67.44,76.92,18.42,-0.12,-0.49,6.33
"9","1101053","종로구 사직동","01","60",245,42.31,3.77618843941634,3.17368642107771,5.37043206315165,2.94012419627475,4.22795382629803,1.77,3.17500821004587,4.28837655160385,5.24649602967424,1.65,2.16,65.08,512.54,0,3393.16,0.02,95.53,14.72,17.4,6.1,3.94,29.22,11.15,1057454.13,342754.07,831.11,412.31,40.28,50.54,54.01,18.27,-0.05,-0.53,8.27
"10","1101053","종로구 사직동","01","65",180,30.98,2.49512568390638,0.828303670093981,6.03061036550211,1.88507862108274,5.25751543669395,0.76,1.39745782237179,1.02000228412201,4.17373006833509,1.67,2.29,68.6,548.51,2.22,5050,-0.04,80.71,12.4,16.56,5.31,2.34,27.64,10.45,1109414.34,358104.27,669.76,341.9,37.42,35.26,45.35,18.37,-0.09,-0.57,6.81
"11","1101053","종로구 사직동","01","70",180.93,27.54,2.83714374810827,2.02713767349803,0.869579205844834,1.88878385649031,2.90302618013278,0.48,2.35504063841697,1.45757951815441,5.78287901034381,1.58,1.33,0,0,1.67,3571.43,-0.1,63.72,13.81,13.62,4.69,1.45,23.84,9.59,1195872.6,386065.25,539.05,283.88,31.83,29.04,30.4,10.98,-0.21,-0.62,3.33
"12","1101053","종로구 사직동","01","75",283.07,81.66,7.85801704065144,6.52943768892065,8.23310239172083,7.16167185415563,4.36297829979257,0.62,8.11453306111181,2.36650651051704,8.66593753144275,1.4,1.01,40,550,3.33,6545.45,-0.19,58.27,14.38,10.13,3.71,1.09,17.25,7.18,1378592.87,462803.92,385.54,206.73,29.37,28.55,31.79,10.54,-0.38,-0.62,9.38
"13","1101053","종로구 사직동","02","20",362,120.06,15.0008235633404,12.2951306816624,9.66308362163061,12.7337884352839,5.3925399101885,6.66,8.65786338208629,3.3679944897179,10.7276596133914,1.92,3.06,64.93,451.56,0,4687.5,-0.05,104.4,10.69,7.01,3.55,7.57,24.33,9.53,1173702.02,382464.14,506.88,274.51,30.45,55.01,76.93,16.44,0.08,-0.18,11
"14","1101053","종로구 사직동","02","25",365,128.61,7.6988893485538,10.721621840256,9.5776609518206,13.5736071888733,9.2322983751897,12.97,6.29123505006993,10.4019120627884,5.50630653593606,1.96,3.07,54.58,527.52,2.5,6485.51,0.1,102.02,14.83,11.87,4.63,11.05,23.89,11.41,1085212.03,339404.81,558.33,352.49,39.42,88.36,123.93,24.15,0.13,-0.04,14.59
"15","1101053","종로구 사직동","02","30",428,139.09,13.6607173938192,13.8373835066951,9.88817591328764,14.3310647633002,5.81449138985896,17.12,12.790164200078,11.2514505080479,9.62136971576042,1.98,2.91,60.25,511.08,2.64,7038.46,0.07,110.27,10.13,12.4,5.29,9.45,24.48,10.87,1096797.54,344057.72,588.03,375.95,32.68,94.74,138.3,28.27,0.03,-0.09,14.8
"16","1101053","종로구 사직동","02","35",404,117.48,8.94166005059252,11.8000162185586,4.68524289956415,12.6770000562379,4.92839328255099,12.67,8.31008439604686,8.52910885944822,4.89449469860983,1.84,2.64,53.07,508.59,2.88,6486.77,0.03,103.54,16.55,13.99,6.11,8.24,21.78,9.61,1132438.77,366605.02,468.39,332.73,36.3,92.51,150.5,26.15,0.04,-0.21,12.9
"17","1101053","종로구 사직동","02","40",412,87.76,6.59242503279823,8.67495899830305,4.37555215964748,8.7203100620474,2.61609917395686,6.45,7.27621197137993,9.63265239043359,3.89715759392735,1.76,2.69,54.28,506.61,2.11,7391.11,-0.02,118.85,14.81,15.54,6.49,6.35,21.39,9.01,1166261.11,375560.46,479.77,299.28,36.78,93.82,145.39,23.36,-0.02,-0.26,10.93
"18","1101053","종로구 사직동","02","45",420,99.05,8.74246605718453,19.6698442695852,5.68790555599121,12.933907784525,17.3590838736428,5.54,12.8651045830014,11.5441507043557,11.4987101481039,1.65,2.55,60.81,491.61,2.59,7958.97,-0.06,135.78,19.25,16.4,6.39,4.4,22.36,8.77,1217049.88,404177.11,528.34,319.01,34.15,79.63,117.06,20.33,-0.09,-0.36,9.9
"19","1101053","종로구 사직동","02","50",389,61.89,5.0417579097211,6.63309061276907,4.18104176965693,5.65795850801195,9.37576187827766,2.81,6.38897172836464,4.20705150758319,6.6461203698589,1.64,2.49,64.84,470.72,2.22,6648.15,-0.07,122.32,14.11,16.46,5.96,4.23,24.7,9.53,1171829.33,387126.38,572.29,311.16,35.71,69.64,100.25,16.48,-0.12,-0.4,8.48
"20","1101053","종로구 사직동","02","55",378.15,56.35,3.76409641283417,5.96397808053681,3.08567519885723,5.32433834824314,3.0127335648471,1.97,5.43069302191252,4.22410267486422,5.99240361216786,1.68,2.38,63.18,508.54,2.5,7914.73,-0.1,120.7,14.44,15.71,5.65,2.24,22.73,8.91,1179699.46,386724.9,626.55,321.63,32.12,49.73,76.3,13.24,-0.14,-0.49,7.68
"21","1101053","종로구 사직동","02","60",288,54.72,2.93145779674457,8.61997948982768,4.86249657593618,7.28429493912788,3.91570973134189,1.48,5.51188218373289,8.15497248787802,7.76917223563581,1.68,2.46,66.67,461.14,2.5,6466.67,-0.05,124.28,14.98,16.64,5.05,2.57,21.49,9.23,1225676.12,387240.78,477.66,295.19,35.04,43.3,63.11,13.17,-0.07,-0.55,6.51
"22","1101053","종로구 사직동","02","65",247,50.62,3.96991133620755,5.95733519217215,3.04067424358773,4.40728934540974,4.53175889166076,0.59,3.89494559741016,4.37044929590027,6.00916558031378,1.57,2.54,75.07,505.19,2.5,4250,-0.11,123.27,15.82,13.25,4.66,1.57,18.2,7.74,1301737.95,417981.55,473.28,243.99,29.79,29.26,40.61,10.02,-0.15,-0.59,5.5
